week_end_date,national_pop,copies_per_day_per_person
2021-06-06,2351000,6060
2021-06-13,2318000,37395
2021-06-20,2377000,21085
2021-06-27,2440000,9930
2021-07-04,2440000,2920
2021-07-11,2377000,5994
2021-07-18,2895000,17061
2021-07-25,2895000,16073
2021-08-01,2916900,2442
2021-08-08,2895000,24782
2021-08-15,3010000,3156
<<<<<<< HEAD
2021-08-22,3309840,117036
2021-08-29,3808410,219337
2021-09-05,3775170,77538
2021-09-12,3721710,142780
2021-09-19,3879950,38351
2021-09-26,3399986,100798
2021-10-03,3401376,134688
2021-10-10,3465472,114866
2021-10-17,3522970,164894
2021-10-24,3544056,497260
2021-10-31,3659476,432130
2021-11-07,3764676,431299
2021-11-14,3679226,145107
2021-11-21,3775856,553548
2021-11-28,3795056,438648
2021-12-05,2735620,68315
2021-12-12,3858186,190890
2021-12-19,3840493,185760
2021-12-26,3774827,230525
2022-01-02,3298802,140012
2022-01-09,2521619,89486
2022-01-16,2689389,83015
2022-01-23,2697483,83663
2022-01-30,3868083,89618
2022-02-06,3842100,379110
2022-02-13,2670440,318230
2022-02-20,2762854,715696
2022-02-27,3867383,18636335
2022-03-06,3865740,15710904
2022-03-13,3863020,29993544
2022-03-20,3899399,15711327
2022-03-27,3893678,11787672
2022-04-03,3866804,13089664
2022-04-10,3870920,9164924
2022-04-17,3756370,7300032
2022-04-24,3763686,9471772
2022-05-01,3761020,8849895
2022-05-08,3822400,7467346
2022-05-15,3839234,12841047
2022-05-22,3809577,14151933
2022-05-29,3805460,10060422
2022-06-05,3778704,7561290
2022-06-12,3751234,7886014
2022-06-19,3832734,6772269
2022-06-26,3791304,8181953
2022-07-03,3793234,12114381
2022-07-10,3813334,29294655
2022-07-17,3728404,20551174
2022-07-24,2715504,17476025
2022-07-31,3731034,21360500
2022-08-07,3789534,11514414
2022-08-14,3768004,10229283
2022-08-21,3757504,7679240
2022-08-28,3678904,5397966
2022-09-04,2688104,3763522
2022-09-11,3789204,4243102
2022-09-18,3742704,4553062
2022-09-25,3790323,2969142
2022-10-02,3684567,3692512
2022-10-09,3751034,4443862
2022-10-16,3755284,5832129
2022-10-23,3687807,5239429
2022-10-30,3765860,5849027
2022-11-06,3731030,4622789
2022-11-13,3759260,5092893
2022-11-20,3756060,3574608
2022-11-27,3794760,4779259
2022-12-04,3793030,7795702
2022-12-11,3751950,12453992
2022-12-18,3682106,16017262
2022-12-25,3578706,9990909
2023-01-01,1723000,9084461
2023-01-08,1723000,5722139
2023-01-15,3581560,3471478
2023-01-22,3799860,3031473
2023-01-29,3710860,1960145
2023-02-05,3567330,1489840
2023-02-12,3597060,2341720
2023-02-19,3539520,1731664
2023-02-26,3371930,2473745
2023-03-05,3191660,3147731
2023-03-12,3541360,3439570
2023-03-19,3514340,2276742
2023-03-26,3660030,2456708
2023-04-02,3644150,3349639
2023-04-09,3610006,4074610
2023-04-16,3630563,4374699
2023-04-23,3604927,3705361
2023-04-30,3424020,3066661
=======
2021-08-22,3309840,117039
2021-08-29,3808410,219337
2021-09-05,3775170,77538
2021-09-12,3721709,142735
2021-09-19,3879949,37550
2021-09-26,3399985,100798
2021-10-03,3401376,134688
2021-10-10,3469569,114525
2021-10-17,3527068,163485
2021-10-24,3548153,496642
2021-10-31,3663573,431665
2021-11-07,3768773,431686
2021-11-14,3683323,143403
2021-11-21,3779951,549226
2021-11-28,3799150,436597
2021-12-05,2738614,72111
2021-12-12,3861180,190309
2021-12-19,3843487,184576
2021-12-26,3777821,230143
2022-01-02,3298802,140795
2022-01-09,2520518,89795
2022-01-16,2692384,86987
2022-01-23,2700478,89441
2022-01-30,3871078,93051
2022-02-06,3845094,383037
2022-02-13,2669335,268036
2022-02-20,2765849,619033
2022-02-27,3866278,19560791
2022-03-06,3864635,15911550
2022-03-13,3861915,30252351
2022-03-20,3898294,17134448
2022-03-27,3892574,10300870
2022-04-03,3866800,12825541
2022-04-10,3869815,9439300
2022-04-17,3755266,7682772
2022-04-24,3762581,9865006
2022-05-01,3759915,9220688
2022-05-08,3821296,8091239
2022-05-15,3838130,13298580
2022-05-22,3808473,14220483
2022-05-29,3804356,12105027
2022-06-05,3777600,6634491
2022-06-12,3750130,6501780
2022-06-19,3831630,5626171
2022-06-26,3790200,7559075
2022-07-03,3792130,11197551
2022-07-10,3812230,26540618
2022-07-17,3727300,13382867
2022-07-24,2714400,14335095
2022-07-31,3729930,12776804
